BSSID,f8:5f:2a:5f:5c:a8,SSID,NOKIA Lumia 900_5438,level,-75
BSSID,00:18:84:88:bf:88,SSID,MyPlace,level,-73
BSSID,04:54:53:0e:01:bf,SSID,Vilen's iMac,level,-74
BSSID,00:27:0d:2e:79:f0,SSID,aalto open,level,-63
BSSID,a4:56:30:e8:17:61,SSID,eduroam,level,-83
BSSID,a0:cf:5b:fa:34:e1,SSID,eduroam,level,-82
BSSID,08:1f:f3:b2:d0:a0,SSID,aalto open,level,-63
BSSID,00:27:0d:2d:dd:c1,SSID,eduroam,level,-86
BSSID,a0:cf:5b:fa:34:e0,SSID,aalto open,level,-81
BSSID,00:27:0d:2e:79:f1,SSID,eduroam,level,-82
BSSID,00:22:55:df:65:11,SSID,eduroam,level,-91
BSSID,a4:56:30:e8:17:60,SSID,aalto open,level,-77
BSSID,00:27:0d:2d:dd:c0,SSID,aalto open,level,-80
BSSID,00:27:0d:08:c2:10,SSID,aalto open,level,-73
BSSID,00:27:0d:0b:d1:c1,SSID,eduroam,level,-89
BSSID,ee:43:f6:71:d2:a0,SSID,cloudlet_test_2g,level,-86
BSSID,00:27:0d:2d:d0:71,SSID,eduroam,level,-82
BSSID,00:27:0d:08:bf:11,SSID,eduroam,level,-92
BSSID,be:d1:d3:45:01:54,SSID,ASNET,level,-85
BSSID,00:27:0d:08:c3:21,SSID,eduroam,level,-82
BSSID,00:27:0d:30:2a:61,SSID,eduroam,level,-94
BSSID,00:27:0d:0b:d1:c0,SSID,aalto open,level,-85
BSSID,00:1d:7e:fc:31:06,SSID,NFC,level,-82
BSSID,a0:cf:5b:ca:b0:30,SSID,aalto open,level,-81
BSSID,00:27:0d:2d:d0:70,SSID,aalto open,level,-81
BSSID,f8:5f:2a:5f:5c:a8,SSID,NOKIA Lumia 900_5438,level,-75
BSSID,00:18:84:88:bf:88,SSID,MyPlace,level,-73
BSSID,04:54:53:0e:01:bf,SSID,Vilen's iMac,level,-74
BSSID,a4:56:30:e8:17:61,SSID,eduroam,level,-83
BSSID,a0:cf:5b:fa:34:e1,SSID,eduroam,level,-82
BSSID,08:1f:f3:b2:d0:a0,SSID,aalto open,level,-75
BSSID,00:27:0d:2d:dd:c1,SSID,eduroam,level,-77
BSSID,a0:cf:5b:fa:34:e0,SSID,aalto open,level,-81
BSSID,00:27:0d:2e:79:f1,SSID,eduroam,level,-82
BSSID,00:22:55:df:65:11,SSID,eduroam,level,-77
BSSID,a4:56:30:e8:17:60,SSID,aalto open,level,-77
BSSID,00:27:0d:2d:dd:c0,SSID,aalto open,level,-76
BSSID,00:27:0d:0b:d1:c1,SSID,eduroam,level,-89
BSSID,00:27:0d:2d:d0:71,SSID,eduroam,level,-88
BSSID,00:27:0d:08:bf:11,SSID,eduroam,level,-92
BSSID,be:d1:d3:45:01:54,SSID,ASNET,level,-90
BSSID,00:27:0d:08:c3:21,SSID,eduroam,level,-82
BSSID,00:1d:7e:fc:31:06,SSID,NFC,level,-87
BSSID,a0:cf:5b:ca:b0:30,SSID,aalto open,level,-81
BSSID,00:27:0d:2d:d0:70,SSID,aalto open,level,-81
BSSID,08:1f:f3:b2:d0:a1,SSID,eduroam,level,-80
BSSID,00:22:55:df:65:10,SSID,aalto open,level,-77
BSSID,0e:b6:24:9f:49:f2,SSID,Portthru,level,-89
BSSID,00:18:84:88:bf:88,SSID,MyPlace,level,-83
BSSID,08:1f:f3:b2:d0:a0,SSID,aalto open,level,-66
BSSID,00:27:0d:2d:dd:c1,SSID,eduroam,level,-82
BSSID,00:22:55:df:65:11,SSID,eduroam,level,-66
BSSID,00:27:0d:2d:dd:c0,SSID,aalto open,level,-78
BSSID,00:27:0d:2d:d0:71,SSID,eduroam,level,-82
BSSID,be:d1:d3:45:01:54,SSID,ASNET,level,-90
BSSID,00:1d:7e:fc:31:06,SSID,NFC,level,-87
BSSID,08:1f:f3:b2:d0:a1,SSID,eduroam,level,-80
BSSID,00:22:55:df:65:10,SSID,aalto open,level,-77
BSSID,0e:b6:24:9f:49:f2,SSID,Portthru,level,-87
BSSID,a0:cf:5b:ca:a9:00,SSID,aalto open,level,-89
BSSID,00:27:0d:08:bf:10,SSID,aalto open,level,-91
BSSID,00:18:84:88:bf:88,SSID,MyPlace,level,-82
BSSID,08:1f:f3:b2:d0:a0,SSID,aalto open,level,-66
BSSID,00:27:0d:2d:dd:c1,SSID,eduroam,level,-83
BSSID,00:22:55:df:65:11,SSID,eduroam,level,-74
BSSID,00:27:0d:2d:dd:c0,SSID,aalto open,level,-80
BSSID,00:27:0d:2d:d0:71,SSID,eduroam,level,-82
BSSID,00:1d:7e:fc:31:06,SSID,NFC,level,-87
BSSID,00:22:55:df:65:10,SSID,aalto open,level,-73
BSSID,0e:b6:24:9f:49:f2,SSID,Portthru,level,-87
BSSID,a0:cf:5b:ca:a9:00,SSID,aalto open,level,-89
BSSID,00:27:0d:08:bf:10,SSID,aalto open,level,-89
BSSID,f8:5f:2a:5f:5c:a8,SSID,NOKIA Lumia 900_5438,level,-87
BSSID,00:27:0d:2d:d0:70,SSID,aalto open,level,-83
BSSID,00:22:55:75:44:90,SSID,aalto open,level,-93
BSSID,00:18:84:88:bf:88,SSID,MyPlace,level,-82
BSSID,08:1f:f3:b2:d0:a0,SSID,aalto open,level,-76
BSSID,00:27:0d:2d:dd:c1,SSID,eduroam,level,-82
BSSID,00:22:55:df:65:11,SSID,eduroam,level,-71
